timestamp,sessionId,userChoice,computerChoice,result,userScore,computerScore,userChoiceLabel,computerChoiceLabel,resultLabel,userChoice_prev_1,computerChoice_prev_1,userChoice_prev_2,computerChoice_prev_2,userChoice_prev_3,computerChoice_prev_3,cluster
2025-05-19T10:21:23.098Z,session_1747649995288,scissor,scissor,It is a tie..!,7,5,2,2,0,1.0,1.0,1.0,2.0,0.0,2.0,0
2025-05-19T10:21:28.521Z,session_1747649995288,scissor,paper,Hurrah! You win..! scissor beats paper,8,5,2,0,1,2.0,2.0,1.0,1.0,1.0,2.0,0
2025-05-19T10:22:23.685Z,session_1747649995288,rock,rock,It is a tie..!,8,5,1,1,0,2.0,0.0,2.0,2.0,1.0,1.0,1
2025-05-19T10:22:26.063Z,session_1747649995288,paper,rock,Hurrah! You win..! paper beats rock,9,5,0,1,1,1.0,1.0,2.0,0.0,2.0,2.0,0
2025-05-19T10:22:38.875Z,session_1747649995288,scissor,scissor,It is a tie..!,9,5,2,2,0,0.0,1.0,1.0,1.0,2.0,0.0,0
2025-05-19T10:22:40.258Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,9,6,0,2,-1,2.0,2.0,0.0,1.0,1.0,1.0,2
2025-05-19T10:22:41.356Z,session_1747649995288,rock,rock,It is a tie..!,9,6,1,1,0,0.0,2.0,2.0,2.0,0.0,1.0,1
2025-05-19T10:22:42.286Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,10,6,1,2,1,1.0,1.0,0.0,2.0,2.0,2.0,0
2025-05-19T10:22:43.449Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,10,7,1,0,-1,1.0,2.0,1.0,1.0,0.0,2.0,1
2025-05-19T10:22:45.085Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,10,8,0,2,-1,1.0,0.0,1.0,2.0,1.0,1.0,2
2025-05-19T10:22:46.103Z,session_1747649995288,scissor,rock,Oops! You lose...! rock beats scissor,10,9,2,1,-1,0.0,2.0,1.0,0.0,1.0,2.0,1
2025-05-19T10:22:47.063Z,session_1747649995288,scissor,paper,Hurrah! You win..! scissor beats paper,11,9,2,0,1,2.0,1.0,0.0,2.0,1.0,0.0,0
2025-05-19T10:22:49.294Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,11,10,1,0,-1,2.0,0.0,2.0,1.0,0.0,2.0,1
2025-05-19T10:22:50.530Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,11,11,0,2,-1,1.0,0.0,2.0,0.0,2.0,1.0,2
2025-05-19T10:22:51.433Z,session_1747649995288,scissor,rock,Oops! You lose...! rock beats scissor,11,12,2,1,-1,0.0,2.0,1.0,0.0,2.0,0.0,1
2025-05-19T10:23:14.393Z,session_1747649995288,paper,paper,It is a tie..!,11,12,0,0,0,2.0,1.0,0.0,2.0,1.0,0.0,1
2025-05-19T10:23:15.388Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,11,13,0,2,-1,0.0,0.0,2.0,1.0,0.0,2.0,2
2025-05-19T10:23:16.025Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,11,14,0,2,-1,0.0,2.0,0.0,0.0,2.0,1.0,2
2025-05-19T10:23:17.422Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,12,14,1,2,1,0.0,2.0,0.0,2.0,0.0,0.0,0
2025-05-19T10:23:19.136Z,session_1747649995288,scissor,rock,Oops! You lose...! rock beats scissor,12,15,2,1,-1,1.0,2.0,0.0,2.0,0.0,2.0,1
2025-05-19T10:23:20.119Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,13,15,1,2,1,2.0,1.0,1.0,2.0,0.0,2.0,0
2025-05-19T10:23:29.646Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,13,16,1,0,-1,1.0,2.0,2.0,1.0,1.0,2.0,1
2025-05-19T10:23:30.602Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,13,17,0,2,-1,1.0,0.0,1.0,2.0,2.0,1.0,2
2025-05-19T10:23:31.514Z,session_1747649995288,scissor,scissor,It is a tie..!,13,17,2,2,0,0.0,2.0,1.0,0.0,1.0,2.0,0
